"";"X";"CODE";"codeplas";"plasnaam";"SBZ";"meetnet";"HabtypeSel";"HabtypeVel";"INSIDE_X";"INSIDE_Y";"LabSampleID";"FieldSampleID";"FieldObserver";"FieldSampleRemark";"FieldSamplingDate";"Component";"LIMSAnalysisName";"Unit";"AquaComponent";"AquaUnit";"ResultNumeric";"ResultFormatted";"ResultFormattedNumeric";"IsBelowLOQ";"IsAboveLOQ";"IsCalc";"categorie";"label";"meetreeks";"seizoen";"ResultCalc";"Locatie";"watertype"
"11";983;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"Na";"IC_KATIONEN";"mg/L";"Na";"mg/L";"3,2562";"3.26";"3,26";FALSE;FALSE;FALSE;"Zs 3160";"Na (mg/L)";"2022-2024";"winter";3,26;NA;"Zs"
"12";984;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"NH4";"IC_KATIONEN";"mg/L";"NH4";"mg/L";"0,0345";"<0.1";"0,1";TRUE;FALSE;FALSE;"Zs 3160";"NH4 (mg/L)";"2022-2024";"winter";0,05;NA;"Zs"
"13";985;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"K";"IC_KATIONEN";"mg/L";"K";"mg/L";"1,021";"1.02";"1,02";FALSE;FALSE;FALSE;"Zs 3160";"K (mg/L)";"2022-2024";"winter";1,02;NA;"Zs"
"14";986;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"Mg";"IC_KATIONEN";"mg/L";"Mg";"mg/L";"0,3823";"0.38";"0,38";FALSE;FALSE;FALSE;"Zs 3160";"Mg (mg/L)";"2022-2024";"winter";0,38;NA;"Zs"
"15";987;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"Ca";"IC_KATIONEN";"mg/L";"Ca";"mg/L";"0,6549";"0.65";"0,65";FALSE;FALSE;FALSE;"Zs 3160";"Ca (mg/L)";"2022-2024";"winter";0,65;NA;"Zs"
"16";988;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"Al";"ICP_MET_OPT8300_W";"mg/L";"Al";"mg/L";"0,1286";"0.13";"0,13";FALSE;FALSE;FALSE;"Zs 3160";"Al (mg/L)";"2022-2024";"winter";0,13;NA;"Zs"
"17";989;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"Fe";"ICP_MET_OPT8300_W";"mg/L";"Fe";"mg/L";"0,5286";"0.53";"0,53";FALSE;FALSE;FALSE;"Zs 3160";"Fe (mg/L)";"2022-2024";"winter";0,53;NA;"Zs"
"18";990;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"Mn";"ICP_MET_OPT8300_W";"mg/L";"Mn";"mg/L";"0,0194";"0.02";"0,02";FALSE;FALSE;FALSE;"Zs 3160";"Mn (mg/L)";"2022-2024";"winter";0,02;NA;"Zs"
"19";991;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"S";"ICP_MET_OPT8300_W";"mg/L";"S";"mg/L";"1,1399";"1.14";"1,14";FALSE;FALSE;FALSE;"Zs 3160";"S (mg/L)";"2022-2024";"winter";1,14;NA;"Zs"
"20";992;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"Si";"ICP_MET_OPT8300_W";"mg/L";"Si";"mg/L";"0,6231";"0.62";"0,62";FALSE;FALSE;FALSE;"Zs 3160";"Si (mg/L)";"2022-2024";"winter";0,62;NA;"Zs"
"21";993;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"NPOC";"CN_NPOC_TN_ANAL_W";"mg/L";"NPOC";"mg/L";"13,58187789";"13.58";"13,58";FALSE;FALSE;FALSE;"Zs 3160";"NPOC (mg/L)";"2022-2024";"winter";13,58;NA;"Zs"
"22";994;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"T.N";"CN_NPOC_TN_ANAL_W";"mg/L";"TN";"mg/L";"1,179";"1.18";"1,18";FALSE;FALSE;FALSE;"Zs 3160";"TN (mg/L)";"2022-2024";"winter";1,18;NA;"Zs"
"23";995;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"T.P";"P_TOT_L_ICP_W";"mg/L";"TP";"mg/L";"0,0183";"<0.03";"0,03";TRUE;FALSE;FALSE;"Zs 3160";"TP (mg/L)";"2022-2024";"winter";0,015;NA;"Zs"
"24";996;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"CHL.A";"CHLA_SPECTRO";"µg/l";"chl_a";"µg/l";"4,662";"<5";"5";TRUE;FALSE;FALSE;"Zs 3160";"chl_a (µg/l)";"2022-2024";"winter";2,5;NA;"Zs"
"25";997;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"Faeofytine";"CHLA_SPECTRO";"µg/l";"faeo";"µg/l";"1,6576";"<5";"5";TRUE;FALSE;FALSE;"Zs 3160";"faeo (µg/l)";"2022-2024";"winter";2,5;NA;"Zs"
"26";998;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"ABSORBANTIE.1";"KLEUR_SPECTRO";"ABS";"absorptie_440";"ABS";"0,0304";"0.0304";"0,0304";FALSE;FALSE;FALSE;"Zs 3160";"absorptie_440 (ABS)";"2022-2024";"winter";0,0304;NA;"Zs"
"27";999;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"ZS.105";"ZS_FILT_105";"g/L";"ZS_105";"g/L";"6,00E-04";"<0.025";"0,025";TRUE;FALSE;FALSE;"Zs 3160";"ZS_105 (g/L)";"2022-2024";"winter";0,0125;NA;"Zs"
"28";1000;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"ZS.550";"ZS_FILT_550";"g/L";"ZS_550";"g/L";"6,00E-04";"<0.025";"0,025";TRUE;FALSE;FALSE;"Zs 3160";"ZS_550 (g/L)";"2022-2024";"winter";0,0125;NA;"Zs"
"29";1001;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"T.KATION";"QC_IONENBALANS";"meq/L";"T_kation";"meq/L";"0,286984029";"0.2870";"0,287";FALSE;FALSE;FALSE;"Zs 3160";"T_kation (meq/L)";"2022-2024";"winter";0,287;NA;"Zs"
"30";1002;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"T.ANION";"QC_IONENBALANS";"meq/L";"T_anion";"meq/L";"0,25245827";"0.2525";"0,2525";FALSE;FALSE;FALSE;"Zs 3160";"T_anion (meq/L)";"2022-2024";"winter";0,2525;NA;"Zs"
"31";1003;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"VERSCHIL.IC.ABS";"QC_IONENBALANS";"meq/L";"verschil_IC_abs";"meq/L";"0,034484029";"0.034";"0,034";FALSE;FALSE;FALSE;"Zs 3160";"verschil_IC_abs (meq/L)";"2022-2024";"winter";0,034;NA;"Zs"
"32";1004;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"VERSCHIL.IC.PROC";"QC_IONENBALANS";"%";"verschil_IC_proc";"%";"6,392533412";"6.4";"6,4";FALSE;FALSE;FALSE;"Zs 3160";"verschil_IC_proc (%)";"2022-2024";"winter";6,4;NA;"Zs"
"33";1005;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"EC.MEAS";"QC_GELEIDBAARHEID";"µS/cm";"EGV_labo";"µS/cm";"38,5";"38.50";"38,5";FALSE;FALSE;FALSE;"Zs 3160";"EGV_labo (µS/cm)";"2022-2024";"winter";38,5;NA;"Zs"
"34";1006;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"EC.CALC";"QC_GELEIDBAARHEID";"µS/cm";"EGV_calc";"µS/cm";"37,27057934";"37.27";"37,27";FALSE;FALSE;FALSE;"Zs 3160";"EGV_calc (µS/cm)";"2022-2024";"winter";37,27;NA;"Zs"
"35";1007;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"VERSCHIL.EC.ABS";"QC_GELEIDBAARHEID";"µS/cm";"verschil_EGV_abs";"µS/cm";"1,23";"1.23";"1,23";FALSE;FALSE;FALSE;"Zs 3160";"verschil_EGV_abs (µS/cm)";"2022-2024";"winter";1,23;NA;"Zs"
"36";1008;"ANTKAL0344";"ANTKAL0344";NA;1;"-";"-";"3160;3130_aom";NA;NA;"24-001088";"ANTKAL0344";"Wannes Dermout";"EMPTY";2024-03-11;"VERSCHIL.EC.PROC";"QC_GELEIDBAARHEID";"%";"verschil_EGV_proc";"%";"3,194805195";"3.19";"3,19";FALSE;FALSE;FALSE;"Zs 3160";"verschil_EGV_proc (%)";"2022-2024";"winter";3,19;NA;"Zs"
"37";1009;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"pH.25";"PHH2O_TIT_W";"-";"pH_labo";"-";"5,09";"5.09";"5,09";FALSE;FALSE;FALSE;"Zs 3160";"pH_labo (-)";"2022-2024";"winter";5,09;NA;"Zs"
"38";1010;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"EC.25";"EC_TIT_W";"µS/cm";"EGV_tit";"µS/cm";"28,9";"28.90";"28,9";FALSE;FALSE;FALSE;"Zs 3160";"EGV_tit (µS/cm)";"2022-2024";"winter";28,9;NA;"Zs"
"39";1011;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"HCO3";"ALK_OEP_W";"mg/L";"HCO3_OEP";"mg/L";"0,614066667";"<5";"5";TRUE;FALSE;FALSE;"Zs 3160";"HCO3_OEP (mg/L)";"2022-2024";"winter";2,5;NA;"Zs"
"40";1012;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"CO3";"ALK_OEP_W";"mg/L";"CO3";"mg/L";"0";"<1.20";"1,2";TRUE;FALSE;FALSE;"Zs 3160";"CO3 (mg/L)";"2022-2024";"winter";0,6;NA;"Zs"
"41";1013;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"OH";"ALK_OEP_W";"mg/L";"OH";"mg/L";"0";"<0.36";"0,36";TRUE;FALSE;FALSE;"Zs 3160";"OH (mg/L)";"2022-2024";"winter";0,18;NA;"Zs"
"42";1014;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"Cl";"IC_ANIONEN";"mg/L";"Cl";"mg/L";"4,3042";"4.30";"4,3";FALSE;FALSE;FALSE;"Zs 3160";"Cl (mg/L)";"2022-2024";"winter";4,3;NA;"Zs"
"43";1015;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"NO2";"IC_ANIONEN";"mg/L";"NO2";"mg/L";"0,0032";"<0.02";"0,02";TRUE;FALSE;FALSE;"Zs 3160";"NO2 (mg/L)";"2022-2024";"winter";0,01;NA;"Zs"
"44";1016;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"NO3";"IC_ANIONEN";"mg/L";"NO3";"mg/L";"0,2726";"0.27";"0,27";FALSE;FALSE;FALSE;"Zs 3160";"NO3 (mg/L)";"2022-2024";"winter";0,27;NA;"Zs"
"45";1017;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"SO4";"IC_ANIONEN";"mg/L";"SO4";"mg/L";"1,4919";"1.49";"1,49";FALSE;FALSE;FALSE;"Zs 3160";"SO4 (mg/L)";"2022-2024";"winter";1,49;NA;"Zs"
"46";1018;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"PO4";"IC_ANIONEN";"mg/L";"PO4";"mg/L";"0";"<0.1";"0,1";TRUE;FALSE;FALSE;"Zs 3160";"PO4 (mg/L)";"2022-2024";"winter";0,05;NA;"Zs"
"47";1019;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"Na";"IC_KATIONEN";"mg/L";"Na";"mg/L";"2,556";"2.56";"2,56";FALSE;FALSE;FALSE;"Zs 3160";"Na (mg/L)";"2022-2024";"winter";2,56;NA;"Zs"
"48";1020;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"NH4";"IC_KATIONEN";"mg/L";"NH4";"mg/L";"0,2208";"0.22";"0,22";FALSE;FALSE;FALSE;"Zs 3160";"NH4 (mg/L)";"2022-2024";"winter";0,22;NA;"Zs"
"49";1021;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"K";"IC_KATIONEN";"mg/L";"K";"mg/L";"1,2439";"1.24";"1,24";FALSE;FALSE;FALSE;"Zs 3160";"K (mg/L)";"2022-2024";"winter";1,24;NA;"Zs"
"50";1022;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"Mg";"IC_KATIONEN";"mg/L";"Mg";"mg/L";"0,3739";"0.37";"0,37";FALSE;FALSE;FALSE;"Zs 3160";"Mg (mg/L)";"2022-2024";"winter";0,37;NA;"Zs"
"51";1023;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"Ca";"IC_KATIONEN";"mg/L";"Ca";"mg/L";"0,678";"0.68";"0,68";FALSE;FALSE;FALSE;"Zs 3160";"Ca (mg/L)";"2022-2024";"winter";0,68;NA;"Zs"
"52";1024;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"Al";"ICP_MET_OPT8300_W";"mg/L";"Al";"mg/L";"0,1627";"0.16";"0,16";FALSE;FALSE;FALSE;"Zs 3160";"Al (mg/L)";"2022-2024";"winter";0,16;NA;"Zs"
"53";1025;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"Fe";"ICP_MET_OPT8300_W";"mg/L";"Fe";"mg/L";"1,284";"1.28";"1,28";FALSE;FALSE;FALSE;"Zs 3160";"Fe (mg/L)";"2022-2024";"winter";1,28;NA;"Zs"
"54";1026;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"Mn";"ICP_MET_OPT8300_W";"mg/L";"Mn";"mg/L";"0,0256";"0.03";"0,03";FALSE;FALSE;FALSE;"Zs 3160";"Mn (mg/L)";"2022-2024";"winter";0,03;NA;"Zs"
"55";1027;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"S";"ICP_MET_OPT8300_W";"mg/L";"S";"mg/L";"0,8173";"<1";"1";TRUE;FALSE;FALSE;"Zs 3160";"S (mg/L)";"2022-2024";"winter";0,5;NA;"Zs"
"56";1028;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"Si";"ICP_MET_OPT8300_W";"mg/L";"Si";"mg/L";"0,0182";"<0.2";"0,2";TRUE;FALSE;FALSE;"Zs 3160";"Si (mg/L)";"2022-2024";"winter";0,1;NA;"Zs"
"57";1029;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"NPOC";"CN_NPOC_TN_ANAL_W";"mg/L";"NPOC";"mg/L";"17,21708332";"17.22";"17,22";FALSE;FALSE;FALSE;"Zs 3160";"NPOC (mg/L)";"2022-2024";"winter";17,22;NA;"Zs"
"58";1030;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"T.N";"CN_NPOC_TN_ANAL_W";"mg/L";"TN";"mg/L";"1,361";"1.36";"1,36";FALSE;FALSE;FALSE;"Zs 3160";"TN (mg/L)";"2022-2024";"winter";1,36;NA;"Zs"
"59";1031;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"T.P";"P_TOT_L_ICP_W";"mg/L";"TP";"mg/L";"0,0153";"<0.03";"0,03";TRUE;FALSE;FALSE;"Zs 3160";"TP (mg/L)";"2022-2024";"winter";0,015;NA;"Zs"
"60";1032;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"CHL.A";"CHLA_SPECTRO";"µg/l";"chl_a";"µg/l";"1,998";"<5";"5";TRUE;FALSE;FALSE;"Zs 3160";"chl_a (µg/l)";"2022-2024";"winter";2,5;NA;"Zs"
"61";1033;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"Faeofytine";"CHLA_SPECTRO";"µg/l";"faeo";"µg/l";"4,736";"<5";"5";TRUE;FALSE;FALSE;"Zs 3160";"faeo (µg/l)";"2022-2024";"winter";2,5;NA;"Zs"
"62";1034;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"ABSORBANTIE.1";"KLEUR_SPECTRO";"ABS";"absorptie_440";"ABS";"0,0407";"0.0407";"0,0407";FALSE;FALSE;FALSE;"Zs 3160";"absorptie_440 (ABS)";"2022-2024";"winter";0,0407;NA;"Zs"
"63";1035;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"ZS.105";"ZS_FILT_105";"g/L";"ZS_105";"g/L";"0,006769231";"<0.025";"0,025";TRUE;FALSE;FALSE;"Zs 3160";"ZS_105 (g/L)";"2022-2024";"winter";0,0125;NA;"Zs"
"64";1036;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"ZS.550";"ZS_FILT_550";"g/L";"ZS_550";"g/L";"0,006769231";"<0.025";"0,025";TRUE;FALSE;FALSE;"Zs 3160";"ZS_550 (g/L)";"2022-2024";"winter";0,0125;NA;"Zs"
"65";1037;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"T.KATION";"QC_IONENBALANS";"meq/L";"T_kation";"meq/L";"0,286949745";"0.2869";"0,2869";FALSE;FALSE;FALSE;"Zs 3160";"T_kation (meq/L)";"2022-2024";"winter";0,2869;NA;"Zs"
"66";1038;"ANTKAL0385";"ANTKAL0385";NA;1;"-";"-";"3160";NA;NA;"24-001089";"ANTKAL0385";"Wannes Dermout";"EMPTY";2024-03-11;"T.ANION";"QC_IONENBALANS";"meq/L";"T_anion";"meq/L";"0,241158502";"0.2412";"0,2412";FALSE;FALSE;FALSE;"Zs 3160";"T_anion (meq/L)";"2022-2024";"winter";0,2412;NA;"Zs"
